Artist,Track Name,Popularity,Duration (ms),Track ID
Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),92,319191,1yeB8MUNeLo9Ek1UEpsyz6
Drake,One Dance,91,173986,1zi7xx7UVEFkmKfv06H8x0
Drake,IDGAF (feat. Yeat),90,260111,2YSzYUF3jWqb9YP9VXmpjE
Drake,First Person Shooter (feat. J. Cole),88,247444,7aqfrAY2p9BUSiupwk3svU
Drake,Jimmy Cooks (feat. 21 Savage),88,218364,3F5CgOj3wFlRv51JsHbxhe
Drake,God's Plan,87,198973,6DCZcSspjsKoFjzjrWoCdn
Drake,Passionfruit,86,298940,5mCPDVBb16L4XQwDdbRUpz
Travis Scott,MELTDOWN (feat. Drake),86,246133,67nepsnrcZkowTxMWigSbb
Drake,Fair Trade (with Travis Scott),85,291175,40iJIUlhi6renaREYGeIDS
Drake,Rich Flex,85,239359,1bDbXMyjaUIooNwFE9wn0N
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,87,157560,0RiRZpuVRbi7oqRdSMwhQY
Post Malone,Circles,88,215280,21jGcNKet2qwijlDFuPiPb
Noah Kahan,Dial Drunk (with Post Malone),86,213817,22VHOlVYBqytsrAqV8yXBK
Post Malone,Chemical,85,184013,5w40ZYhbBMAlHYNDaVJIUu
Post Malone,rockstar (feat. 21 Savage),85,218146,0e7ipj03S05BNilyu5bRzt
Post Malone,Congratulations,84,220293,3a1lNhkSLSkpJE4MSHpDu9
Post Malone,I Like You (A Happier Song) (with Doja Cat),84,192840,0O6u0VJ46W86TxN9wgyqDj
Post Malone,Wow.,84,149546,7xQAfvXzm3AkraOtGPWIZg
Post Malone,Better Now,83,231266,7dt6x5M1jzdTEt8oCbisTK
Noah Kahan,Dial Drunk (with Post Malone),68,213817,5TXbpmu45IS8x0YPiUF1jy
Nicki Minaj,FTCU,87,172137,1a73gcEg6h6Re6hHXoVltJ
Justin Bieber,Beauty And A Beat,63,226613,2S5NuP68ckFRvC0qMd7dVR
Nicki Minaj,Everybody (feat. Lil Uzi Vert),84,180869,5ZJGv7aGdIr9IGpxzSG18T
Nicki Minaj,Starships,77,210626,1oHNvJVbFkexQc0BpQp7Y4
Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],83,109750,741UUVE2kuITl0c6zuqqbO
Nicki Minaj,Super Bass,83,200013,3hlksXnvbKogFdPbpO9vel
Jessie J,Bang Bang,81,199386,0puf9yIluy9W0vpMEUoAnN
Nicki Minaj,Super Freaky Girl,73,170977,2yjlYDiNiQkdxVqTlaSrlX
KAROL G,Tusa,71,201920,0dKg2vGC1hFqcK5LGTaKzX
Nicki Minaj,Pink Friday Girls,79,166299,44L2bY93uD65CEHWbozpx4
Travis Scott,FE!N (feat. Playboi Carti),93,191700,42VsgItocQwOQC3XWZ8JNA
Travis Scott,I KNOW ?,92,211582,6wsqVwoiVH2kde4k4KKAFU
Travis Scott,MY EYES,91,251249,4kjI1gwQZRKNDkw1nI475M
Travis Scott,goosebumps,89,243836,6gBFPUFcJLzWGx4lenP6h2
21 Savage,née-nah,88,220584,2yUzr8Sr6ldG8vmHhZwTnz
Metro Boomin,Trance (with Travis Scott & Young Thug),89,194786,5wG3HvLhF6Y5KTGlK0IW3J
SZA,Open Arms (feat. Travis Scott),81,239613,6koKhrBBcExADvWuOgceNZ
Travis Scott,SICKO MODE,87,312820,2xLMifQCjDGFmkHkpNLD9h
